Hub_Name,Hub_Type,Location,State_Region,Geographical_Zone,Area_In_Acres,Target_Capacity_TEU_Annum,Capacity_Utilization_Pct,Utilized_Volume_TEU_Annual,Investment_Cost_Crores,Development_Phase,Connectivity_Modes,Connectivity_Matrix,Rail_Physical_Destinations,Road_Physical_Destinations,Port_Physical_Destinations,Airport_Physical_Destinations,Outbound_Rail_Pct,Outbound_Road_Pct,Outbound_Port_Pct,Outbound_Airport_Pct,Heavy_Machinery_Fleet,Catchment_Score,Avg_Freight_Speed_KmH,Real_Anchor_Industries,Industry_Driving_Distance_KM,Pipeline_Tracker,Regulatory_Layer,Transaction_Proxies_Bilty,Data_Source_Verification_Link
MMLP Jalna,MMLP,Jalna,Maharashtra,,,,,,,Operational; commercial operations started June 2026,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Chennai,MMLP,Chennai,Tamil Nadu,,,,,,,Bids awarded; under development,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Bengaluru,MMLP,Bangalore,Karnataka,,,,,,,Bids awarded; under development,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Indore,MMLP,Indore,Madhya Pradesh,,,,,,,Bids awarded; under development,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Nagpur,MMLP,Nagpur,Maharashtra,,,,,,,Bids awarded; under development,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Varanasi,MMLP,Varanasi,Uttar Pradesh,,,,,,,Bid invited; PPP-DBFOT,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Nashik,MMLP,Nashik,Maharashtra,,,,,,,Feasibility Study/DPR completed,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Patna,MMLP,Patna,Bihar,,,,,,,Feasibility Study/DPR completed,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Anantapur,MMLP,Anantapur,Andhra Pradesh,,,,,,,Feasibility Study/DPR in progress,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
MMLP Hyderabad,MMLP,Hyderabad,Telangana,,,,,,,Feasibility Study/DPR in progress,"rail, road, port, air","Inter-modal facility with dedicated railway line/spur, highway/expressway access, and connectivity to seaport/inland waterway terminal or airport",,,,,,,,,Mechanized material handling; warehouses; cold chain facilities; freight/container terminals; bulk/break-bulk cargo terminals,,,"Operator: NHLML (NHAI); cargo consolidation/distribution; customs/EXIM bonded area; value-added services (sorting, grading, aggregation/disaggregation, cold storage)",,,PPP-DBFOT; MoRTH; NHLML (NHAI); CCEA approved 35 MMLP locations,,https://nhlml.org/multi-modal-logistics-park
